"","subject","1","2","3","4","6"
"273","5",0.333,0,0.5,NA,0.333
"274","6",0.5,0.333,0,0,0.5
"275","7",0.5,0.25,1,0.125,NA
"276","9",1,0,0.333,1,0.389
"277","10",0.5,0.5,0.5,0,0.333
"278","11",1,0.4,0,0,1
"279","12",0,0,0.4,0.333,NA
"280","14",0.5,0.75,0.5,0.125,0
"281","15",0.333,1,1,0.667,0
"282","16",0.5,1,1,0.5,1
"283","18",0.167,0,1,0.75,1
"284","21",0.5,0.333,NA,NA,1
"285","23",1,NA,NA,0.2,0
"286","24",0,0.5,0.5,0.5,0.375
"287","25",0,NA,0,0.5,0
"288","27",0.167,0,NA,0,0.667
"289","28",0.5,NA,0.333,NA,0.4
"290","29",0.5,1,0.125,NA,0.3
"291","32",0.5,0.25,1,1,0.75
"292","33",1,0.375,0,NA,0.333
"293","34",0.333,0,0,NA,0.375
"294","36",0.5,NA,0,0,0.333
"295","37",0.333,0.5,0,NA,0.333
"296","38",0.25,0.333,1,NA,0.25
"297","41",0.3,0.5,0.333,0,0.2
"298","42",0.5,0.333,0.667,0.5,1
"299","44",0,0,0,0,0.25
"300","45",0,0.667,0,0.5,0.208
"301","46",0,0,0.5,1,0.5
"302","47",0.25,NA,0.5,0,0
"303","49",0.667,0.25,0,NA,0.333
"304","50",0.5,0.5,1,0,0.375
"305","51",1,1,0.25,0,0
"306","52",0,0.25,0,0,1
"307","54",0.5,0.3,0.2,0.4,0.1
"308","60",0,0.333,0.667,0,NA
"309","64",0,0.375,0.667,1,0.3
"310","65",0,1,0,1,0
"311","67",0,1,0.667,0,0.333
"312","68",0.25,NA,NA,0,0.2
"313","69",0,0,0,0.333,0.625
"314","70",0,0,NA,1,0.25
"315","71",0.5,NA,1,1,1
"316","73",0,1,0.5,0.25,NA
"317","75",1,0.25,0,NA,1
"328","17",NA,0.5,1,1,0.333
"330","19",NA,0.5,1,0,0.333
"332","22",NA,0.5,1,0,0.375
"339","35",NA,0.333,NA,0.333,0.25
"342","39",NA,0.667,0,0,0.333
"343","40",NA,0.167,0.25,0.25,0.25
"346","43",NA,0.5,0.5,0.2,0
"350","48",NA,0.833,NA,1,0.5
"356","56",NA,0,1,0.5,NA
"357","58",NA,0,NA,0.5,0.222
"359","61",NA,0.5,0.5,NA,0.25
"360","62",NA,0.333,NA,1,0.667
"361","63",NA,1,0,0.5,0
"369","4",NA,NA,0.667,1,1
"383","20",NA,NA,0,0.125,0.188
"389","30",NA,NA,0,0.375,0
"390","31",NA,NA,0,0.167,0.25
"410","53",NA,NA,0,0.333,0
"412","55",NA,NA,0,0.333,0.167
"414","57",NA,NA,0,0.5,NA
"415","59",NA,NA,0,NA,NA
"421","66",NA,NA,0,1,1
"425","72",NA,NA,0,0.5,1
"484","74",NA,NA,NA,0.5,NA
"503","26",NA,NA,NA,NA,0
