subject,oddballtype,wordposition,normrec
4,E,m2,-0.15
5,E,m2,-0.05
6,E,m2,0.25
7,E,m2,0.0526315789473684
9,E,m2,-0.2
10,E,m2,0
11,E,m2,-0.1
12,E,m2,-0.25
14,E,m2,-0.1
15,E,m2,-0.2
16,E,m2,0.1
17,E,m2,0.05
18,E,m2,0.25
19,E,m2,0.1
20,E,m2,-0.05
21,E,m2,0.05
22,E,m2,-0.25
23,E,m2,-0.1
24,E,m2,0.05
25,E,m2,0.05
26,E,m2,-0.2
27,E,m2,0.05
28,E,m2,0.1
29,E,m2,0.05
30,E,m2,-0.05
31,E,m2,-0.2
32,E,m2,0.0499999999999999
33,E,m2,-0.05
34,E,m2,-0.1
35,E,m2,0.15
36,E,m2,-0.05
37,E,m2,0
38,E,m2,0.3
39,E,m2,0.35
40,E,m2,0.35
41,E,m2,-0.25
42,E,m2,-0.05
43,E,m2,0
44,E,m2,0.2
45,E,m2,-0.05
46,E,m2,0.263157894736842
47,E,m2,0.15
48,E,m2,0.05
49,E,m2,-0.05
50,E,m2,-0.25
51,E,m2,-0.210526315789474
52,E,m2,-0.0526315789473684
53,E,m2,0.1
54,E,m2,-0.1
55,E,m2,-0.3
56,E,m2,0
57,E,m2,-0.15
58,E,m2,-0.15
59,E,m2,0.15
60,E,m2,0.105263157894737
61,E,m2,0.15
62,E,m2,-0.15
63,E,m2,0.105263157894737
64,E,m2,0.210526315789474
65,E,m2,0.0526315789473684
66,E,m2,-0.25
67,E,m2,0.0499999999999999
68,E,m2,-0.210526315789474
69,E,m2,0.15
70,E,m2,0
71,E,m2,0
72,E,m2,0.1
73,E,m2,-0.05
74,E,m2,-0.1
75,E,m2,-0.1
4,E,m1,-0.25
5,E,m1,0
6,E,m1,0.25
7,E,m1,0.105263157894737
9,E,m1,-0.2
10,E,m1,-0.15
11,E,m1,-0.25
12,E,m1,-0.05
14,E,m1,0
15,E,m1,-0.1
16,E,m1,-0.05
17,E,m1,0.1
18,E,m1,0.3
19,E,m1,-0.05
20,E,m1,0
21,E,m1,0.05
22,E,m1,-0.05
23,E,m1,-0.1
24,E,m1,0.25
25,E,m1,-0.1
26,E,m1,-0.1
27,E,m1,0
28,E,m1,-0.05
29,E,m1,0
30,E,m1,-0.25
31,E,m1,-0.1
32,E,m1,0
33,E,m1,0
34,E,m1,-0.05
35,E,m1,-0.25
36,E,m1,0.05
37,E,m1,0
38,E,m1,0.15
39,E,m1,0.05
40,E,m1,0.35
41,E,m1,-0.05
42,E,m1,0.05
43,E,m1,0
44,E,m1,0.05
45,E,m1,-0.1
46,E,m1,0.0526315789473684
47,E,m1,0.15
48,E,m1,0.05
49,E,m1,0.1
50,E,m1,-0.15
51,E,m1,0.0526315789473685
52,E,m1,-0.368421052631579
53,E,m1,-0.05
54,E,m1,-0.2
55,E,m1,-0.3
56,E,m1,0.15
57,E,m1,0.1
58,E,m1,-0.15
59,E,m1,0.35
60,E,m1,0
61,E,m1,-0.05
62,E,m1,-0.1
63,E,m1,0.0526315789473685
64,E,m1,0.0526315789473685
65,E,m1,0.0526315789473684
66,E,m1,-0.15
67,E,m1,-0.2
68,E,m1,-0.105263157894737
69,E,m1,0.1
70,E,m1,0.05
71,E,m1,0.1
72,E,m1,0.1
73,E,m1,-0.1
74,E,m1,-0.15
75,E,m1,-0.2
4,E,odd,-0.05
5,E,odd,0.25
6,E,odd,0.2
7,E,odd,0.0526315789473684
9,E,odd,0
10,E,odd,0.15
11,E,odd,0.1
12,E,odd,0.2
14,E,odd,0.25
15,E,odd,0.25
16,E,odd,0.3
17,E,odd,0.05
18,E,odd,0.6
19,E,odd,0.3
20,E,odd,0
21,E,odd,0
22,E,odd,0
23,E,odd,0.1
24,E,odd,0.25
25,E,odd,0.1
26,E,odd,0.1
27,E,odd,0.3
28,E,odd,0.1
29,E,odd,0.5
30,E,odd,0
31,E,odd,0.15
32,E,odd,0.1
33,E,odd,0.3
34,E,odd,0.0499999999999999
35,E,odd,0.1
36,E,odd,0.15
37,E,odd,0.15
38,E,odd,0.3
39,E,odd,0.4
40,E,odd,0.5
41,E,odd,0.15
42,E,odd,0.3
43,E,odd,0.105263157894737
44,E,odd,0.1
45,E,odd,0.35
46,E,odd,0.263157894736842
47,E,odd,0.4
48,E,odd,0.15
49,E,odd,0.2
50,E,odd,0.0499999999999999
51,E,odd,0.0526315789473685
52,E,odd,0.0526315789473685
53,E,odd,0.2
54,E,odd,0.15
55,E,odd,-0.05
56,E,odd,0.1
57,E,odd,0
58,E,odd,0.35
59,E,odd,0.25
60,E,odd,0.368421052631579
61,E,odd,0.1
62,E,odd,-0.1
63,E,odd,0.0526315789473685
64,E,odd,0.210526315789474
65,E,odd,0.0526315789473684
66,E,odd,-0.1
67,E,odd,0.15
68,E,odd,0.0526315789473685
69,E,odd,0.3
70,E,odd,0.05
71,E,odd,0.4
72,E,odd,0.3
73,E,odd,-0.1
74,E,odd,-0.1
75,E,odd,-0.1
4,E,p1,-0.1
5,E,p1,0.25
6,E,p1,0.2
7,E,p1,0.263157894736842
9,E,p1,-0.15
10,E,p1,0
11,E,p1,0.15
12,E,p1,-0.3
14,E,p1,-0.05
15,E,p1,0.0499999999999999
16,E,p1,0.05
17,E,p1,0.15
18,E,p1,0.4
19,E,p1,0.15
20,E,p1,-0.05
21,E,p1,0
22,E,p1,-0.25
23,E,p1,-0.15
24,E,p1,0.15
25,E,p1,-0.1
26,E,p1,-0.25
27,E,p1,0.4
28,E,p1,-0.05
29,E,p1,0.25
30,E,p1,-0.2
31,E,p1,-0.15
32,E,p1,-0.05
33,E,p1,-0.15
34,E,p1,-0.05
35,E,p1,-0.25
36,E,p1,-0.05
37,E,p1,-0.1
38,E,p1,0.35
39,E,p1,0.2
40,E,p1,0.1
41,E,p1,0
42,E,p1,0.2
43,E,p1,0.0526315789473685
44,E,p1,0.1
45,E,p1,-0.05
46,E,p1,0.157894736842105
47,E,p1,0.05
48,E,p1,0.3
49,E,p1,-0.05
50,E,p1,-0.3
51,E,p1,-0.0526315789473684
52,E,p1,-0.368421052631579
53,E,p1,-0.05
54,E,p1,-0.2
55,E,p1,0.1
56,E,p1,0.2
57,E,p1,-0.15
58,E,p1,0
59,E,p1,0.05
60,E,p1,-0.157894736842105
61,E,p1,-0.15
62,E,p1,-0.2
63,E,p1,-0.0526315789473684
64,E,p1,0.0526315789473685
65,E,p1,-0.105263157894737
66,E,p1,-0.05
67,E,p1,-0.15
68,E,p1,-0.210526315789474
69,E,p1,0
70,E,p1,-0.2
71,E,p1,0.05
72,E,p1,-0.05
73,E,p1,-0.35
74,E,p1,0
75,E,p1,-0.3
4,P,m2,-0.0499999999999999
5,P,m2,0
6,P,m2,-0.2
7,P,m2,-0.15
9,P,m2,0
10,P,m2,0.15
11,P,m2,0
12,P,m2,0.15
14,P,m2,-0.1
15,P,m2,-0.2
16,P,m2,0.157894736842105
17,P,m2,0.15
18,P,m2,0.3
19,P,m2,-0.15
20,P,m2,0.1
21,P,m2,-0.1
22,P,m2,0
23,P,m2,0
24,P,m2,-0.05
25,P,m2,-0.0526315789473684
26,P,m2,-0.3
27,P,m2,0.25
28,P,m2,-0.15
29,P,m2,-0.15
30,P,m2,0.05
31,P,m2,0.05
32,P,m2,0.2
33,P,m2,0.0526315789473685
34,P,m2,-0.4
35,P,m2,0
36,P,m2,0
37,P,m2,0
38,P,m2,-0.25
39,P,m2,-0.3
40,P,m2,0.1
41,P,m2,0.2
42,P,m2,-0.1
43,P,m2,-0.2
44,P,m2,0
45,P,m2,-0.05
46,P,m2,-0.2
47,P,m2,-0.1
48,P,m2,-0.35
49,P,m2,0.0499999999999999
50,P,m2,-0.2
51,P,m2,-0.1
52,P,m2,0.15
53,P,m2,0.1
54,P,m2,0
55,P,m2,-0.0499999999999999
56,P,m2,-0.05
57,P,m2,-0.1
58,P,m2,0
59,P,m2,-0.2
60,P,m2,-0.05
61,P,m2,0.05
62,P,m2,-0.05
63,P,m2,0.3
64,P,m2,-0.05
65,P,m2,0
66,P,m2,0.35
67,P,m2,0
68,P,m2,0.35
69,P,m2,0
70,P,m2,-0.05
71,P,m2,0.105263157894737
72,P,m2,-0.3
73,P,m2,0.2
74,P,m2,-0.1
75,P,m2,-0.1
4,P,m1,-0.25
5,P,m1,0.05
6,P,m1,0.2
7,P,m1,-0.1
9,P,m1,-0.157894736842105
10,P,m1,0.15
11,P,m1,-0.2
12,P,m1,-0.1
14,P,m1,-0.1
15,P,m1,-0.1
16,P,m1,0.0526315789473684
17,P,m1,0
18,P,m1,0.1
19,P,m1,-0.0499999999999999
20,P,m1,-0.15
21,P,m1,-0.15
22,P,m1,-0.2
23,P,m1,-0.1
24,P,m1,-0.05
25,P,m1,0
26,P,m1,-0.25
27,P,m1,0.4
28,P,m1,-0.4
29,P,m1,0
30,P,m1,-0.05
31,P,m1,0.15
32,P,m1,-0.05
33,P,m1,-0.0526315789473684
34,P,m1,-0.1
35,P,m1,-0.15
36,P,m1,-0.1
37,P,m1,0.1
38,P,m1,-0.15
39,P,m1,-0.0499999999999999
40,P,m1,0.05
41,P,m1,0.2
42,P,m1,-0.05
43,P,m1,-0.35
44,P,m1,0.157894736842105
45,P,m1,0
46,P,m1,-0.15
47,P,m1,0
48,P,m1,-0.15
49,P,m1,-0.2
50,P,m1,-0.25
51,P,m1,0.0499999999999999
52,P,m1,-0.05
53,P,m1,0.2
54,P,m1,-0.0499999999999999
55,P,m1,-0.0499999999999999
56,P,m1,-0.15
57,P,m1,-0.1
58,P,m1,0.05
59,P,m1,-0.05
60,P,m1,0
61,P,m1,0.1
62,P,m1,-0.2
63,P,m1,0.35
64,P,m1,0.1
65,P,m1,0
66,P,m1,0.1
67,P,m1,-0.1
68,P,m1,0.2
69,P,m1,-0.2
70,P,m1,0.1
71,P,m1,0.263157894736842
72,P,m1,0
73,P,m1,-0.1
74,P,m1,-0.2
75,P,m1,-0.2
4,P,odd,0.05
5,P,odd,0.2
6,P,odd,0.1
7,P,odd,-0.15
9,P,odd,0.0526315789473685
10,P,odd,0.15
11,P,odd,0.2
12,P,odd,0.0499999999999999
14,P,odd,0.1
15,P,odd,0.15
16,P,odd,0
17,P,odd,0.15
18,P,odd,0.25
19,P,odd,0.05
20,P,odd,0.25
21,P,odd,-0.15
22,P,odd,0.15
23,P,odd,0
24,P,odd,0.15
25,P,odd,0.315789473684211
26,P,odd,0
27,P,odd,0.35
28,P,odd,-0.1
29,P,odd,0.1
30,P,odd,0.2
31,P,odd,0
32,P,odd,-0.05
33,P,odd,-0.105263157894737
34,P,odd,-0.05
35,P,odd,0.1
36,P,odd,0
37,P,odd,0.15
38,P,odd,0.15
39,P,odd,-0.0499999999999999
40,P,odd,0.2
41,P,odd,0.3
42,P,odd,0.05
43,P,odd,-0.25
44,P,odd,0
45,P,odd,0.15
46,P,odd,0.15
47,P,odd,0.05
48,P,odd,-0.0499999999999999
49,P,odd,0.1
50,P,odd,-0.1
51,P,odd,-0.15
52,P,odd,0
53,P,odd,0.25
54,P,odd,-0.15
55,P,odd,0.05
56,P,odd,0.0499999999999999
57,P,odd,-0.25
58,P,odd,0.15
59,P,odd,-0.2
60,P,odd,0.3
61,P,odd,0.25
62,P,odd,-0.05
63,P,odd,0.3
64,P,odd,0.2
65,P,odd,-0.2
66,P,odd,0.25
67,P,odd,0
68,P,odd,0.15
69,P,odd,0
70,P,odd,-0.05
71,P,odd,0.210526315789474
72,P,odd,0
73,P,odd,0.3
74,P,odd,0.05
75,P,odd,-0.05
4,P,p1,-0.2
5,P,p1,0.2
6,P,p1,0.1
7,P,p1,-0.05
9,P,p1,-0.210526315789474
10,P,p1,0.1
11,P,p1,0
12,P,p1,-0.15
14,P,p1,-0.2
15,P,p1,0.1
16,P,p1,-0.105263157894737
17,P,p1,0
18,P,p1,0.1
19,P,p1,-0.0499999999999999
20,P,p1,0.05
21,P,p1,0.0499999999999999
22,P,p1,-0.2
23,P,p1,-0.05
24,P,p1,0
25,P,p1,0.157894736842105
26,P,p1,-0.0499999999999999
27,P,p1,0
28,P,p1,-0.25
29,P,p1,-0.05
30,P,p1,0.15
31,P,p1,0.1
32,P,p1,-0.1
33,P,p1,-0.105263157894737
34,P,p1,-0.2
35,P,p1,0.2
36,P,p1,-0.2
37,P,p1,0.0499999999999999
38,P,p1,-0.2
39,P,p1,-0.15
40,P,p1,0.15
41,P,p1,0.1
42,P,p1,-0.25
43,P,p1,-0.2
44,P,p1,-0.263157894736842
45,P,p1,-0.05
46,P,p1,-0.2
47,P,p1,0
48,P,p1,-0.1
49,P,p1,-0.05
50,P,p1,-0.1
51,P,p1,-0.1
52,P,p1,0.25
53,P,p1,0
54,P,p1,-0.15
55,P,p1,0.05
56,P,p1,-0.15
57,P,p1,-0.1
58,P,p1,0
59,P,p1,0.1
60,P,p1,0
61,P,p1,-0.05
62,P,p1,-0.4
63,P,p1,0.25
64,P,p1,0
65,P,p1,-0.05
66,P,p1,-0.05
67,P,p1,-0.1
68,P,p1,0.2
69,P,p1,0.1
70,P,p1,-0.1
71,P,p1,0
72,P,p1,-0.05
73,P,p1,0.0499999999999999
74,P,p1,-0.2
75,P,p1,-0.2
